name,createdAt,pullRequests,releases,url
every-programmer-should-know,2017-08-24T13:18:26Z,144,0,https://github.com/mtdvio/every-programmer-should-know
pytorch,2016-08-13T05:26:41Z,90724,55,https://github.com/pytorch/pytorch
excalidraw,2020-01-02T01:04:43Z,4342,13,https://github.com/excalidraw/excalidraw
neovim,2014-01-31T13:39:22Z,18146,39,https://github.com/neovim/neovim
tailwindcss,2017-10-06T14:59:14Z,2879,235,https://github.com/tailwindlabs/tailwindcss
animate.css,2011-10-12T10:07:38Z,887,22,https://github.com/animate-css/animate.css
realworld,2016-02-26T20:49:53Z,835,0,https://github.com/gothinkster/realworld
app-ideas,2019-02-25T18:36:56Z,337,0,https://github.com/florinpop17/app-ideas
django,2012-04-28T02:47:18Z,18352,0,https://github.com/django/django
nvm,2010-04-15T17:47:47Z,1017,68,https://github.com/nvm-sh/nvm
bitcoin,2010-12-19T15:16:43Z,21107,52,https://github.com/bitcoin/bitcoin
svelte,2016-11-20T18:13:05Z,5885,287,https://github.com/sveltejs/svelte
opencv,2012-07-19T09:40:17Z,15198,63,https://github.com/opencv/opencv
laravel,2011-06-08T03:06:08Z,4803,173,https://github.com/laravel/laravel
gin,2014-06-16T23:57:25Z,1607,26,https://github.com/gin-gonic/gin
mall,2018-04-04T01:11:44Z,117,3,https://github.com/macrozheng/mall
models,2016-02-05T01:15:20Z,3642,46,https://github.com/tensorflow/models
FiraCode,2014-11-11T19:32:38Z,184,29,https://github.com/tonsky/FiraCode
fastapi,2018-12-08T08:21:47Z,3353,192,https://github.com/fastapi/fastapi
advanced-java,2018-10-06T11:38:30Z,126,1,https://github.com/doocs/advanced-java
awesome-mac,2016-07-17T15:33:47Z,1000,9,https://github.com/jaywcjlove/awesome-mac
ChatGPT-Next-Web,2023-03-10T18:27:54Z,2115,71,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web
hugo,2013-07-04T15:26:26Z,5316,290,https://github.com/gohugoio/hugo
spring-boot,2012-10-19T15:02:57Z,6413,286,https://github.com/spring-projects/spring-boot
rustdesk,2020-09-28T15:36:08Z,3467,21,https://github.com/rustdesk/rustdesk
bun,2021-04-14T00:48:17Z,4699,160,https://github.com/oven-sh/bun
Font-Awesome,2012-02-17T14:19:43Z,669,56,https://github.com/FortAwesome/Font-Awesome
json-server,2013-11-27T13:21:13Z,316,38,https://github.com/typicode/json-server
supabase,2019-10-12T05:56:49Z,11615,17,https://github.com/supabase/supabase
core,2013-09-17T07:29:48Z,74233,1000,https://github.com/home-assistant/core
awesome-vue,2015-10-20T00:16:14Z,3888,0,https://github.com/vuejs/awesome-vue
netdata,2013-06-17T18:39:10Z,10262,94,https://github.com/netdata/netdata
ui,2023-01-04T12:43:27Z,833,26,https://github.com/shadcn-ui/ui
mermaid,2014-11-01T23:52:32Z,2582,137,https://github.com/mermaid-js/mermaid
awesome-interview-questions,2015-11-28T09:48:17Z,209,0,https://github.com/DopplerHQ/awesome-interview-questions
gpt4all,2023-03-27T18:49:32Z,994,26,https://github.com/nomic-ai/gpt4all
elasticsearch,2010-02-08T13:20:56Z,76932,156,https://github.com/elastic/elasticsearch
ML-For-Beginners,2021-03-03T01:34:05Z,497,0,https://github.com/microsoft/ML-For-Beginners
whisper,2022-09-16T20:02:54Z,180,12,https://github.com/openai/whisper
github-readme-stats,2020-07-09T10:34:22Z,2157,0,https://github.com/anuraghazra/github-readme-stats
Front-End-Checklist,2017-10-16T10:12:36Z,301,1,https://github.com/thedaviddias/Front-End-Checklist
moby,2013-01-18T18:10:57Z,24965,195,https://github.com/moby/moby
awesome-for-beginners,2015-10-24T19:53:36Z,1151,0,https://github.com/MunGell/awesome-for-beginners
node,2023-02-01T13:55:02Z,153,35,https://github.com/base-org/node
code-server,2019-02-27T16:50:41Z,1886,163,https://github.com/coder/code-server
v2rayN,2019-07-30T03:47:24Z,295,190,https://github.com/2dust/v2rayN
vite,2020-04-21T05:03:57Z,5999,477,https://github.com/vitejs/vite
flask,2010-04-06T11:11:59Z,2580,34,https://github.com/pallets/flask
reveal.js,2011-06-07T18:54:22Z,982,47,https://github.com/hakimel/reveal.js
swift,2015-10-23T21:15:07Z,56673,55,https://github.com/swiftlang/swift
nest,2017-02-04T20:12:52Z,8240,98,https://github.com/nestjs/nest
cs-video-courses,2016-10-21T17:02:11Z,199,0,https://github.com/Developer-Y/cs-video-courses
HowToCook,2020-02-29T10:43:49Z,679,3,https://github.com/Anduin2017/HowToCook
redis,2009-03-21T22:32:25Z,6239,73,https://github.com/redis/redis
devops-exercises,2019-10-03T17:31:21Z,368,0,https://github.com/bregman-arie/devops-exercises
playwright,2019-11-15T18:32:42Z,15155,135,https://github.com/microsoft/playwright
llama.cpp,2023-03-10T18:58:00Z,4053,1000,https://github.com/ggerganov/llama.cpp
awesome-machine-learning,2014-07-15T19:11:19Z,897,0,https://github.com/josephmisiti/awesome-machine-learning
protobuf,2014-08-26T15:52:15Z,12136,171,https://github.com/protocolbuffers/protobuf
express,2009-06-26T18:56:01Z,1526,158,https://github.com/expressjs/express
awesome-react,2014-08-06T05:31:44Z,1298,0,https://github.com/enaqx/awesome-react
gpt_academic,2023-03-20T09:05:13Z,287,30,https://github.com/binary-husky/gpt_academic
webpack,2012-03-10T10:08:14Z,6888,416,https://github.com/webpack/webpack
Chart.js,2013-03-17T23:56:36Z,3793,110,https://github.com/chartjs/Chart.js
syncthing,2013-11-26T09:48:21Z,4170,385,https://github.com/syncthing/syncthing
fzf,2013-10-23T16:04:23Z,880,50,https://github.com/junegunn/fzf
grafana,2013-12-11T15:59:56Z,54028,457,https://github.com/grafana/grafana
hoppscotch,2019-08-21T13:15:24Z,2400,53,https://github.com/hoppscotch/hoppscotch
generative-ai-for-beginners,2023-06-19T16:28:59Z,378,0,https://github.com/microsoft/generative-ai-for-beginners
33-js-concepts,2018-09-04T13:27:04Z,393,0,https://github.com/leonardomso/33-js-concepts
strapi,2015-09-30T15:34:48Z,10704,416,https://github.com/strapi/strapi
manim,2015-03-22T18:50:58Z,811,10,https://github.com/3b1b/manim
cpython,2017-02-10T19:23:51Z,53386,0,https://github.com/python/cpython
sway,2021-01-19T20:54:33Z,3502,154,https://github.com/FuelLabs/sway
ansible,2012-03-06T14:58:02Z,50947,108,https://github.com/ansible/ansible
javascript-questions,2019-06-12T08:26:27Z,512,0,https://github.com/lydiahallie/javascript-questions
superset,2015-07-21T18:55:34Z,16572,205,https://github.com/apache/superset
the-algorithm,2023-03-27T14:57:57Z,344,0,https://github.com/twitter/the-algorithm
Ventoy,2020-03-10T15:19:19Z,417,97,https://github.com/ventoy/Ventoy
d2l-zh,2017-08-23T04:40:24Z,1256,16,https://github.com/d2l-ai/d2l-zh
resume.github.com,2011-02-06T13:39:55Z,172,0,https://github.com/resume/resume.github.com
keras,2015-03-28T00:35:42Z,7461,71,https://github.com/keras-team/keras
tesseract,2014-08-12T18:04:59Z,1611,32,https://github.com/tesseract-ocr/tesseract
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,903,0,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
socket.io,2010-03-11T18:24:48Z,855,69,https://github.com/socketio/socket.io
redux,2015-05-29T23:53:15Z,2548,78,https://github.com/reduxjs/redux
